age,income,gender,education,city
22,280000,Male,Bachelor,Pune
25,350000,Female,Bachelor,Mumbai
29,480000,Male,Master,Bangalore
31,520000,Female,Master,Delhi
35,750000,Male,PhD,Hyderabad
28,410000,Female,Bachelor,Pune
40,900000,Male,Master,Mumbai
45,1200000,Female,PhD,Delhi
38,680000,Male,Diploma,Bangalore
26,300000,Female,Bachelor,Hyderabad
33,600000,Male,Master,Pune
27,390000,Female,Diploma,Mumbai
50,1500000,Male,PhD,Delhi
42,950000,Female,Master,Bangalore
36,720000,Male,Bachelor,Hyderabad
24,320000,Female,Bachelor,Pune
30,500000,Male,Master,Mumbai
37,800000,Female,Master,Delhi
44,1100000,Male,PhD,Bangalore
29,460000,Female,Bachelor,Hyderabad
32,580000,Male,Master,Pune
41,870000,Female,Master,Mumbai
23,290000,Male,Diploma,Delhi
34,650000,Female,Bachelor,Bangalore
39,820000,Male,Master,Hyderabad
28,430000,Female,Bachelor,Pune
46,1250000,Male,PhD,Mumbai
52,1600000,Female,PhD,Delhi
48,1350000,Male,Master,Bangalore
27,370000,Female,Diploma,Hyderabad
21,250000,Male,Bachelor,Pune
26,340000,Female,Bachelor,Mumbai
43,980000,Male,Master,Delhi
47,1300000,Female,PhD,Bangalore
55,1800000,Male,PhD,Hyderabad
31,540000,Female,Master,Pune
36,710000,Male,Bachelor,Mumbai
29,450000,Female,Bachelor,Delhi
40,920000,Male,Master,Bangalore
33,610000,Female,Master,Hyderabad
38,760000,Male,Diploma,Pune
24,310000,Female,Bachelor,Mumbai
45,1150000,Male,PhD,Delhi
49,1400000,Female,PhD,Bangalore
53,1700000,Male,PhD,Hyderabad
28,420000,Female,Bachelor,Pune
34,640000,Male,Master,Mumbai
37,790000,Female,Master,Delhi
42,960000,Male,Master,Bangalore
30,510000,Female,Bachelor,Hyderabad